111,Libya,68.7,5.5,4.6,6,3.9,6.9,4.6,7.3,4.3,8.3,5.9,7,4.4,2.3,8.6,0.9
149,Lithuania,45.3,4.1,3.2,3.7,4.6,5.7,5.3,3.6,2.9,3.1,2.5,2.8,3.8,1,3.8,4.4
170,Luxembourg,26.1,1.7,2.1,2.8,1.5,2,2.3,2.5,1.9,1,2.3,3.4,2.6,1.2,0.9,5.1
106,Macedonia,71,4.5,4.6,7.4,6.7,6.8,6.2,6.7,4.2,5,6,6.7,6.2,1.1,4.8,4.4
58,Madagascar,83.2,8.3,4.6,5.2,4.9,7.8,7.6,7.1,8.6,6,6.8,8,8.3,3.5,9.8,7.1
33,Malawi,91.2,9.1,6.5,6,8.1,8,8.8,7.9,8.2,7,5.2,7.6,8.7,4.1,9.8,6
112,Malaysia,68.7,6,4.8,6.7,4.2,6.7,4.9,6,5.1,6.9,6,6.4,5,1.7,4.4,2.3
90,Maldives,75.6,6,5.9,4.9,6.8,5,6.7,7.4,6.9,7,5.7,7.6,5.8,2.1,7.3,2.6
77,Mali,79.3,8.8,5.3,6,7.3,6.7,7.8,5.5,8.2,4.9,7.1,4.5,7.2,4.6,9.8,3.4
148,Malta,45.4,3.4,5.4,4,4.4,4.1,4.1,3.7,2.9,3.4,3.7,2,4.4,0.9,3.7,3.2
40,Mauritania,88,8.2,6.8,7.8,5.5,6.5,7.3,7.3,7.9,7,7.9,7.9,7.9,3.5,9.6,3.9
150,Mauritius,44.2,3.3,1.6,3.5,3,5.4,4.5,4.7,3.9,3.5,3.6,3.2,4,1.2,7.2,4.5
93,Mexico,75.1,6.5,4.2,6.1,6.5,7.7,6,6.6,5.8,5.9,7.9,5.2,6.7,2,6.9,5.5
102,Micronesia,71.9,7.1,3.5,4.2,8,7.2,6.7,6.3,6.9,2.5,5.4,5.6,8.5,2.4,8,3.1
65,Moldova,81.2,6.1,4.4,6.6,7.5,6.5,6.7,7.6,6.3,6.5,7.8,8,7.2,1.1,6.8,7.5
127,Mongolia,59.6,5.5,1.6,4,1.9,6.2,5.3,5.9,5.6,6,5,5.5,7.1,2.4,9,7.3
